,level_0,index,axis-0,axis-1,axis-2,name,condition,time
0,4,4.0,18.0,862.5842909933524,890.5958022738884,5,hypoxia 3.5 days,4.5
1,11,11.0,18.0,670.8600550129332,268.434862440927,4,hypoxia 3.5 days,4.5
2,23,23.0,18.0,211.0909686385714,259.2723110273015,4,hypoxia 3.5 days,4.5
3,6,6.0,19.0,521.0004593157207,461.0855883658407,1,hypoxia 3.5 days,4.75
4,5,5.0,19.0,673.6865182111131,721.278896182491,5,hypoxia 3.5 days,4.75
5,9,9.0,19.0,987.1381658909118,905.4773015496676,4,hypoxia 3.5 days,4.75
6,0,0.0,20.0,101.35152443517684,599.0018868030766,0,hypoxia 3.5 days,5.0
7,1,1.0,20.0,96.85311562927356,610.2479088178349,0,hypoxia 3.5 days,5.0
8,5,5.0,20.0,777.6123149226363,948.3783040615648,0,hypoxia 3.5 days,5.0
9,17,17.0,21.0,601.1823884232638,1009.222196533365,4,hypoxia 3.5 days,5.25
10,0,0.0,21.0,933.9968636305404,32.49311493993565,6,hypoxia 3.5 days,5.25
11,26,26.0,21.0,401.47198530872697,291.1808828266812,1,hypoxia 3.5 days,5.25
12,0,0.0,21.0,396.1714421407501,420.6716544318951,3,hypoxia 3.5 days,5.25
13,0,0.0,21.0,686.072872466347,627.6541261069563,1,hypoxia 3.5 days,5.25
14,1,1.0,21.0,836.0925301763311,775.4142335042303,7,hypoxia 3.5 days,5.25
15,20,20.0,21.0,134.86379586383185,208.58722755928096,4,hypoxia 3.5 days,5.25
16,1,1.0,22.0,954.9999040642676,586.3257278308389,2,hypoxia 3.5 days,5.5
17,16,16.0,22.0,340.8117844668014,911.3284846524268,6,hypoxia 3.5 days,5.5
18,21,21.0,22.0,132.07012984590943,222.5555576488929,4,hypoxia 3.5 days,5.5
19,4,4.0,22.0,557.3531337537585,583.0610136589013,6,hypoxia 3.5 days,5.5
20,18,18.0,22.0,618.4022089132828,1015.1261349870858,4,hypoxia 3.5 days,5.5
21,19,19.0,22.0,756.8894364161627,859.5534071940281,1,hypoxia 3.5 days,5.5
22,14,14.0,22.0,331.5972589652287,911.3284846524268,6,hypoxia 3.5 days,5.5
23,17,17.0,22.0,779.3313052734986,886.4836498228311,1,hypoxia 3.5 days,5.5
24,4,4.0,22.0,697.7773420160831,636.3044543362349,4,hypoxia 3.5 days,5.5
25,0,0.0,22.0,945.7779721736542,594.932864262078,2,hypoxia 3.5 days,5.5
26,20,20.0,22.0,791.300301997411,884.4888170355123,1,hypoxia 3.5 days,5.5
27,3,3.0,22.0,240.5994250824588,421.1825702137448,8,hypoxia 3.5 days,5.5
28,0,0.0,22.0,374.3331421846853,583.49186789337,8,hypoxia 3.5 days,5.5
29,7,7.0,22.0,531.9720396459738,468.0675031214563,1,hypoxia 3.5 days,5.5
30,4,4.0,22.0,125.15407954976762,196.00699526384204,8,hypoxia 3.5 days,5.5
31,5,5.0,22.0,523.4940002998691,481.5326244358579,1,hypoxia 3.5 days,5.5
32,1,1.0,22.0,670.1142101677972,636.1321654530609,1,hypoxia 3.5 days,5.5
33,16,16.0,23.0,587.898526902392,1016.602119600516,4,hypoxia 3.5 days,5.75
34,16,16.0,23.0,747.4139806763985,862.0469481781765,1,hypoxia 3.5 days,5.75
35,16,16.0,23.0,991.035620718517,310.80740952505244,2,hypoxia 3.5 days,5.75
36,7,7.0,23.0,617.169067512086,817.9244486903696,0,hypoxia 3.5 days,5.75
37,21,21.0,23.0,417.6536200600691,277.83103415682393,1,hypoxia 3.5 days,5.75
38,6,6.0,23.0,893.6833145611602,1100.226257434666,6,hypoxia 3.5 days,5.75
39,2,2.0,23.0,948.1308001788536,912.6825561450044,8,hypoxia 3.5 days,5.75
40,11,11.0,24.0,916.4760289629296,1016.6464891953792,1,hypoxia 3.5 days,6.0
41,25,25.0,24.0,237.4312482361254,270.44697509899106,4,hypoxia 3.5 days,6.0
42,3,3.0,24.0,531.8654483968943,246.649918361534,9,hypoxia 3.5 days,6.0
43,6,6.0,24.0,780.6112541265718,934.8830776438548,0,hypoxia 3.5 days,6.0
44,8,8.0,24.0,735.9350811415314,224.76169624615085,2,hypoxia 3.5 days,6.0
45,14,14.0,24.0,1018.6005936395228,298.6656952622284,2,hypoxia 3.5 days,6.0
46,3,3.0,24.0,428.9856324651322,918.3889120222092,0,hypoxia 3.5 days,6.0
47,2,2.0,24.0,297.1327837673236,821.4979227545367,3,hypoxia 3.5 days,6.0
48,3,3.0,24.0,657.4014115113582,618.359596334135,4,hypoxia 3.5 days,6.0
49,9,9.0,24.0,655.2911460774726,711.4350927753119,5,hypoxia 3.5 days,6.0
50,4,4.0,24.0,437.9824500769388,922.1375860271288,0,hypoxia 3.5 days,6.0
51,2,2.0,25.0,289.89695418863715,125.40766249913646,2,hypoxia 3.5 days,6.25
52,3,3.0,25.0,683.080623285369,532.8995687093156,1,hypoxia 3.5 days,6.25
53,11,11.0,25.0,1004.0322248197676,440.058097554449,0,hypoxia 3.5 days,6.25
54,22,22.0,25.0,256.9869103615822,258.873215881884,4,hypoxia 3.5 days,6.25
55,6,6.0,25.0,661.1399235951291,633.3136446692183,4,hypoxia 3.5 days,6.25
56,4,4.0,25.0,529.3983593193909,262.0692250959299,9,hypoxia 3.5 days,6.25
57,5,5.0,25.0,649.9243873438165,622.0981084179058,4,hypoxia 3.5 days,6.25
58,2,2.0,25.0,272.29105905950144,976.868226498952,0,hypoxia 3.5 days,6.25
59,10,10.0,25.0,910.4915306009732,1012.158115423912,1,hypoxia 3.5 days,6.25
60,9,9.0,25.0,856.8743941288126,890.3509736448348,3,hypoxia 3.5 days,6.25
61,10,10.0,26.0,984.1473562238951,918.9359450512426,4,hypoxia 3.5 days,6.5
62,18,18.0,26.0,348.8744942806774,884.8367238354055,6,hypoxia 3.5 days,6.5
63,13,13.0,26.0,435.5279956082615,282.4891625626892,5,hypoxia 3.5 days,6.5
64,1,1.0,26.0,367.4750028461096,592.6360536781376,8,hypoxia 3.5 days,6.5
65,7,7.0,26.0,778.501745791502,1195.8269595134825,6,hypoxia 3.5 days,6.5
66,3,3.0,26.0,339.6599687791048,921.694825841696,7,hypoxia 3.5 days,6.5
67,17,17.0,26.0,361.5444668453399,897.5066964000679,6,hypoxia 3.5 days,6.5
68,7,7.0,26.0,149.19993832030093,700.8087281243785,9,hypoxia 3.5 days,6.5
69,0,0.0,26.0,474.5828689631752,377.7670157997515,4,hypoxia 3.5 days,6.5
70,15,15.0,26.0,332.74907465292534,887.1403552107987,6,hypoxia 3.5 days,6.5
71,14,14.0,26.0,845.6594650131142,829.132207187417,1,hypoxia 3.5 days,6.5
72,23,23.0,26.0,402.2810670462941,256.7949089800792,1,hypoxia 3.5 days,6.5
73,10,10.0,26.0,752.0146486787851,189.3210167762861,2,hypoxia 3.5 days,6.5
74,2,2.0,26.0,574.3622363764972,662.5636998850343,1,hypoxia 3.5 days,6.5
75,15,15.0,26.0,1005.1462616185556,303.25985741572936,2,hypoxia 3.5 days,6.5
76,25,25.0,26.0,393.7857088018395,282.6855245822265,1,hypoxia 3.5 days,6.5
77,10,10.0,26.0,866.7271585421705,929.0041263433924,3,hypoxia 3.5 days,6.5
78,0,0.0,27.0,590.7557886969594,209.8727308452091,5,hypoxia 3.5 days,6.75
79,12,12.0,27.0,424.0577070811787,306.42715601051424,5,hypoxia 3.5 days,6.75
80,8,8.0,27.0,780.8053771668953,1178.5497241980338,6,hypoxia 3.5 days,6.75
