,earliest division time (frame),earliest division {hours},centroid_x,centroid_y,v,rep,condition,labels,id,growth_rate
15,25.0,6.25,149.55442464646228,148.16634625957028,0,1,hypoxia 3.5 days,7,7_0_1,0.2563997833179175
43,28.0,7.0,162.09519157875246,127.13022108282551,0,1,hypoxia 3.5 days,7,7_0_1,0.2563997833179175
60,29.0,7.25,161.6906507099689,160.30257232307684,0,1,hypoxia 3.5 days,7,7_0_1,0.2563997833179175
61,29.0,7.25,240.36570156080103,813.8846446248924,0,1,hypoxia 3.5 days,1,1_0_1,0.3055850883062581
62,29.0,7.25,248.6176377985338,818.6760914726082,0,1,hypoxia 3.5 days,1,1_0_1,0.3055850883062581
64,29.0,7.25,178.6813671988781,116.20761762566956,0,1,hypoxia 3.5 days,7,7_0_1,0.2563997833179175
100,31.0,7.75,435.1184576789253,939.5499276663944,0,1,hypoxia 3.5 days,2,2_0_1,0.2650502901594401
102,31.0,7.75,735.5291384620285,377.5666354863136,0,1,hypoxia 3.5 days,3,3_0_1,0.3218470027831052
105,31.0,7.75,141.46360727079127,170.41609404266566,0,1,hypoxia 3.5 days,7,7_0_1,0.2563997833179175
106,31.0,7.75,817.5161178562768,358.93323107852984,0,1,hypoxia 3.5 days,5,5_0_1,0.25732599510305365
107,31.0,7.75,736.5619073951763,384.1519196425708,0,1,hypoxia 3.5 days,3,3_0_1,0.3218470027831052
108,31.0,7.75,803.6741602962088,352.0122522984959,0,1,hypoxia 3.5 days,5,5_0_1,0.25732599510305365
142,33.0,8.25,710.965861111385,383.1674563239634,0,1,hypoxia 3.5 days,3,3_0_1,0.3218470027831052
254,40.0,10.0,699.8086101671684,388.417927356536,0,1,hypoxia 3.5 days,3,3_0_1,0.3218470027831052
256,40.0,10.0,709.325088913706,392.6839350705012,0,1,hypoxia 3.5 days,3,3_0_1,0.3218470027831052
40,27.0,6.75,589.2641454621211,401.4509730846465,1,1,hypoxia 3.5 days,3,3_1_1,0.2669107104931332
78,30.0,7.5,497.83790911703824,245.7027386029788,1,1,hypoxia 3.5 days,2,2_1_1,0.3030276979146188
79,30.0,7.5,249.0478922585684,280.8289093759621,1,1,hypoxia 3.5 days,10,10_1_1,0.34802927515516124
81,30.0,7.5,604.6366984758962,389.31474702114,1,1,hypoxia 3.5 days,3,3_1_1,0.2669107104931332
137,33.0,8.25,442.0112939161231,688.2704367065777,1,1,hypoxia 3.5 days,1,1_1_1,0.3062211819466652
175,34.0,8.5,450.50665216057774,689.0795184441448,1,1,hypoxia 3.5 days,1,1_1_1,0.3062211819466652
326,50.0,12.5,624.0546601775067,413.1826582793696,1,1,hypoxia 3.5 days,3,3_1_1,0.2669107104931332
347,59.0,14.75,579.9597054800996,397.0010235280274,1,1,hypoxia 3.5 days,3,3_1_1,0.2669107104931332
4,23.0,5.75,88.74139994270048,394.4491103438848,2,1,hypoxia 3.5 days,6,6_2_1,0.2961981012969665
7,23.0,5.75,507.1049350329726,608.9362125731366,2,1,hypoxia 3.5 days,1,1_2_1,0.31077024760076044
69,29.0,7.25,440.4092990040886,625.6101215803576,2,1,hypoxia 3.5 days,1,1_2_1,0.31077024760076044
72,29.0,7.25,520.7472242206989,633.9470760839681,2,1,hypoxia 3.5 days,1,1_2_1,0.31077024760076044
104,31.0,7.75,71.3095859806058,399.7544450280006,2,1,hypoxia 3.5 days,6,6_2_1,0.2961981012969665
169,34.0,8.5,476.7887368380254,606.6624977085156,2,1,hypoxia 3.5 days,1,1_2_1,0.31077024760076044
280,42.0,10.5,474.5150219734043,620.3047868962418,2,1,hypoxia 3.5 days,1,1_2_1,0.31077024760076044
341,57.0,14.25,452.5357782820675,622.578501760863,2,1,hypoxia 3.5 days,1,1_2_1,0.31077024760076044
