,index,label,area,time,v,rep,condition,id
0,0,1,401,0,0,1,3.5 Hypoxia,1_0_1
1,1,2,399,0,0,1,3.5 Hypoxia,2_0_1
2,2,3,1053,0,0,1,3.5 Hypoxia,3_0_1
3,3,5,366,0,0,1,3.5 Hypoxia,5_0_1
4,4,6,449,0,0,1,3.5 Hypoxia,6_0_1
5,5,7,1264,0,0,1,3.5 Hypoxia,7_0_1
6,0,1,448,1,0,1,3.5 Hypoxia,1_0_1
7,1,2,445,1,0,1,3.5 Hypoxia,2_0_1
8,2,3,1132,1,0,1,3.5 Hypoxia,3_0_1
9,3,4,531,1,0,1,3.5 Hypoxia,4_0_1
10,4,5,404,1,0,1,3.5 Hypoxia,5_0_1
11,5,6,522,1,0,1,3.5 Hypoxia,6_0_1
12,6,7,1458,1,0,1,3.5 Hypoxia,7_0_1
13,0,1,463,2,0,1,3.5 Hypoxia,1_0_1
14,1,2,464,2,0,1,3.5 Hypoxia,2_0_1
15,2,3,1157,2,0,1,3.5 Hypoxia,3_0_1
16,3,4,559,2,0,1,3.5 Hypoxia,4_0_1
17,4,5,413,2,0,1,3.5 Hypoxia,5_0_1
18,5,6,544,2,0,1,3.5 Hypoxia,6_0_1
19,6,7,1528,2,0,1,3.5 Hypoxia,7_0_1
20,0,1,465,3,0,1,3.5 Hypoxia,1_0_1
21,1,2,480,3,0,1,3.5 Hypoxia,2_0_1
22,2,3,1193,3,0,1,3.5 Hypoxia,3_0_1
23,3,4,576,3,0,1,3.5 Hypoxia,4_0_1
24,4,5,435,3,0,1,3.5 Hypoxia,5_0_1
25,5,6,565,3,0,1,3.5 Hypoxia,6_0_1
26,6,7,1583,3,0,1,3.5 Hypoxia,7_0_1
27,0,1,488,4,0,1,3.5 Hypoxia,1_0_1
28,1,2,490,4,0,1,3.5 Hypoxia,2_0_1
29,2,3,1234,4,0,1,3.5 Hypoxia,3_0_1
30,3,4,582,4,0,1,3.5 Hypoxia,4_0_1
31,4,5,446,4,0,1,3.5 Hypoxia,5_0_1
32,5,6,588,4,0,1,3.5 Hypoxia,6_0_1
33,6,7,1639,4,0,1,3.5 Hypoxia,7_0_1
34,0,1,489,5,0,1,3.5 Hypoxia,1_0_1
35,1,2,497,5,0,1,3.5 Hypoxia,2_0_1
36,2,3,1257,5,0,1,3.5 Hypoxia,3_0_1
37,3,4,581,5,0,1,3.5 Hypoxia,4_0_1
38,4,5,462,5,0,1,3.5 Hypoxia,5_0_1
39,5,6,618,5,0,1,3.5 Hypoxia,6_0_1
40,6,7,1676,5,0,1,3.5 Hypoxia,7_0_1
41,0,1,503,6,0,1,3.5 Hypoxia,1_0_1
42,1,2,500,6,0,1,3.5 Hypoxia,2_0_1
43,2,3,1262,6,0,1,3.5 Hypoxia,3_0_1
44,3,4,598,6,0,1,3.5 Hypoxia,4_0_1
45,4,5,461,6,0,1,3.5 Hypoxia,5_0_1
46,5,6,629,6,0,1,3.5 Hypoxia,6_0_1
47,6,7,1733,6,0,1,3.5 Hypoxia,7_0_1
48,0,1,496,7,0,1,3.5 Hypoxia,1_0_1
49,1,2,514,7,0,1,3.5 Hypoxia,2_0_1
50,2,3,1285,7,0,1,3.5 Hypoxia,3_0_1
51,3,4,600,7,0,1,3.5 Hypoxia,4_0_1
52,4,5,470,7,0,1,3.5 Hypoxia,5_0_1
53,5,6,621,7,0,1,3.5 Hypoxia,6_0_1
54,6,7,1733,7,0,1,3.5 Hypoxia,7_0_1
55,0,1,504,8,0,1,3.5 Hypoxia,1_0_1
56,1,2,532,8,0,1,3.5 Hypoxia,2_0_1
57,2,3,1286,8,0,1,3.5 Hypoxia,3_0_1
58,3,4,595,8,0,1,3.5 Hypoxia,4_0_1
59,4,5,482,8,0,1,3.5 Hypoxia,5_0_1
60,5,6,651,8,0,1,3.5 Hypoxia,6_0_1
61,6,7,1771,8,0,1,3.5 Hypoxia,7_0_1
62,0,1,512,9,0,1,3.5 Hypoxia,1_0_1
63,1,2,543,9,0,1,3.5 Hypoxia,2_0_1
64,2,3,1311,9,0,1,3.5 Hypoxia,3_0_1
65,3,4,613,9,0,1,3.5 Hypoxia,4_0_1
66,4,5,492,9,0,1,3.5 Hypoxia,5_0_1
67,5,6,692,9,0,1,3.5 Hypoxia,6_0_1
68,6,7,1837,9,0,1,3.5 Hypoxia,7_0_1
69,0,1,508,10,0,1,3.5 Hypoxia,1_0_1
70,1,2,534,10,0,1,3.5 Hypoxia,2_0_1
71,2,3,1314,10,0,1,3.5 Hypoxia,3_0_1
72,3,4,606,10,0,1,3.5 Hypoxia,4_0_1
73,4,5,500,10,0,1,3.5 Hypoxia,5_0_1
74,5,6,717,10,0,1,3.5 Hypoxia,6_0_1
75,6,7,1837,10,0,1,3.5 Hypoxia,7_0_1
76,0,1,502,11,0,1,3.5 Hypoxia,1_0_1
77,1,2,542,11,0,1,3.5 Hypoxia,2_0_1
78,2,3,1318,11,0,1,3.5 Hypoxia,3_0_1
79,3,4,603,11,0,1,3.5 Hypoxia,4_0_1
80,4,5,500,11,0,1,3.5 Hypoxia,5_0_1
81,5,6,723,11,0,1,3.5 Hypoxia,6_0_1
82,6,7,1876,11,0,1,3.5 Hypoxia,7_0_1
83,0,1,502,12,0,1,3.5 Hypoxia,1_0_1
84,1,2,551,12,0,1,3.5 Hypoxia,2_0_1
85,2,3,1342,12,0,1,3.5 Hypoxia,3_0_1
86,3,4,604,12,0,1,3.5 Hypoxia,4_0_1
87,4,5,506,12,0,1,3.5 Hypoxia,5_0_1
88,5,6,720,12,0,1,3.5 Hypoxia,6_0_1
89,6,7,1918,12,0,1,3.5 Hypoxia,7_0_1
90,0,1,510,13,0,1,3.5 Hypoxia,1_0_1
91,1,2,557,13,0,1,3.5 Hypoxia,2_0_1
92,2,3,1331,13,0,1,3.5 Hypoxia,3_0_1
93,3,4,608,13,0,1,3.5 Hypoxia,4_0_1
94,4,5,516,13,0,1,3.5 Hypoxia,5_0_1
95,5,6,746,13,0,1,3.5 Hypoxia,6_0_1
96,6,7,1944,13,0,1,3.5 Hypoxia,7_0_1
97,0,1,525,14,0,1,3.5 Hypoxia,1_0_1
98,1,2,565,14,0,1,3.5 Hypoxia,2_0_1
99,2,3,1356,14,0,1,3.5 Hypoxia,3_0_1
100,3,4,609,14,0,1,3.5 Hypoxia,4_0_1
101,4,5,526,14,0,1,3.5 Hypoxia,5_0_1
102,5,6,809,14,0,1,3.5 Hypoxia,6_0_1
103,6,7,2007,14,0,1,3.5 Hypoxia,7_0_1
104,0,1,556,15,0,1,3.5 Hypoxia,1_0_1
105,1,2,580,15,0,1,3.5 Hypoxia,2_0_1
106,2,3,1385,15,0,1,3.5 Hypoxia,3_0_1
107,3,4,611,15,0,1,3.5 Hypoxia,4_0_1
108,4,5,542,15,0,1,3.5 Hypoxia,5_0_1
109,5,6,843,15,0,1,3.5 Hypoxia,6_0_1
110,6,7,2075,15,0,1,3.5 Hypoxia,7_0_1
111,0,1,544,16,0,1,3.5 Hypoxia,1_0_1
112,1,2,584,16,0,1,3.5 Hypoxia,2_0_1
113,2,3,1379,16,0,1,3.5 Hypoxia,3_0_1
114,3,4,593,16,0,1,3.5 Hypoxia,4_0_1
115,4,5,526,16,0,1,3.5 Hypoxia,5_0_1
116,5,6,846,16,0,1,3.5 Hypoxia,6_0_1
117,6,7,2055,16,0,1,3.5 Hypoxia,7_0_1
118,0,1,584,17,0,1,3.5 Hypoxia,1_0_1
